rank, imageUrl, gameLink, gameTitle, platform,Publisher, developer, VGChartzScore, CriticScore,UserScore, TotalShipped, TotalSales, NASales,PALSales, JapanSales, OtherSales, ReleaseDate, LastUpdate
1093,/games/boxart/full_7099512AmericaFrontccc.jpg,https://www.vgchartz.com/game/228246/a-way-out/?region=All,A Way Out    ,All,Electronic Arts  ,Hazelight  ,N/A  ,N/A  ,N/A  ,3.50m,N/A,N/A,N/A,N/A,N/A,23rd Mar 18  ,12th Feb 21
1094,/games/boxart/full_1724750AmericaFrontccc.jpg,https://www.vgchartz.com/game/231946/croc/?region=All,Croc    ,Series,Fox Interactive  ,Argonaut Software  ,N/A  ,N/A  ,N/A  ,3.50m,N/A,N/A,N/A,N/A,N/A,29th Sep 97  ,26th Jun 23
1095,/games/boxart/full_167AmericaFrontccc.jpg,https://www.vgchartz.com/game/228503/doom/?region=All,Doom    ,All,id Software  ,id Software  ,N/A  ,N/A  ,N/A  ,3.50m,N/A,N/A,N/A,N/A,N/A,10th Dec 93  ,19th Mar 21
1096,/games/boxart/full_7846315AmericaFrontccc.jpg,https://www.vgchartz.com/game/230310/doom-3/?region=All,Doom 3    ,All,Activision  ,id Software  ,N/A  ,N/A  ,N/A  ,3.50m,N/A,N/A,N/A,N/A,N/A,03rd Aug 04  ,24th Apr 22
1097,/games/boxart/full_2552986AmericaFrontccc.jpg,https://www.vgchartz.com/game/226260/drawn-to-life/?region=All,Drawn to Life    ,Series,THQ  ,5th Cell  ,N/A  ,N/A  ,N/A  ,3.50m,N/A,N/A,N/A,N/A,N/A,10th Sep 07  ,01st Mar 20
1098,/games/boxart/full_2204513AmericaFrontccc.png,https://www.vgchartz.com/game/228460/duke-nukem-3d/?region=All,Duke Nukem 3D    ,All,FormGen  ,3D Realms  ,N/A  ,N/A  ,N/A  ,3.50m,N/A,N/A,N/A,N/A,N/A,29th Jan 96  ,14th Mar 21
1099,/games/boxart/full_1463410AmericaFrontccc.jpg,https://www.vgchartz.com/game/228075/elite-dangerous/?region=All,Elite Dangerous    ,All,Frontier Developments  ,Frontier Developments  ,N/A  ,N/A  ,N/A  ,3.50m,N/A,N/A,N/A,N/A,N/A,16th Dec 14  ,19th Jan 21
1100,/games/boxart/full_9713176AmericaFrontccc.jpg,https://www.vgchartz.com/game/7636/fable-ii/?region=All,Fable II    Read the review,X360,Microsoft Game Studios  ,Lionhead Studios  ,8.5  ,9.0  ,9.3  ,3.50m,N/A,N/A,N/A,N/A,N/A,21st Oct 08  ,N/A
1101,/games/boxart/full_899024AmericaFrontccc.jpg,https://www.vgchartz.com/game/230972/grand-theft-auto/?region=All,Grand Theft Auto    ,All,ASC Games  ,DMA Design  ,N/A  ,N/A  ,N/A  ,3.50m,N/A,N/A,N/A,N/A,N/A,24th Mar 98  ,28th Sep 22
1102,/games/boxart/full_kung-fu_775AmericaFront.jpg,https://www.vgchartz.com/game/6314/kung-fu/?region=All,Kung Fu    ,NES,Nintendo  ,Irem Software Engineering  ,N/A  ,N/A  ,N/A  ,3.50m,N/A,N/A,N/A,N/A,N/A,01st Oct 85  ,N/A
1103,/games/boxart/full_140761AmericaFrontccc.jpg,https://www.vgchartz.com/game/226247/legacy-of-kain/?region=All,Legacy of Kain    ,Series,Crystal Dynamics  ,Silicon Knights  ,N/A  ,N/A  ,N/A  ,3.50m,N/A,N/A,N/A,N/A,N/A,01st Nov 96  ,28th Feb 20
1104,/games/boxart/full_6862398AmericaFrontccc.jpg,https://www.vgchartz.com/game/227902/mario-tennis/?region=All,Mario Tennis    ,All,Nintendo  ,Camelot Software Planning  ,N/A  ,N/A  ,N/A  ,3.50m,N/A,N/A,N/A,N/A,N/A,28th Aug 00  ,05th Dec 20
1105,/games/boxart/full_7651360AmericaFrontccc.jpg,https://www.vgchartz.com/game/227664/mortal-kombat-deadly-alliance/?region=All,Mortal Kombat: Deadly Alliance    ,All,Midway Games  ,Midway Games  ,N/A  ,N/A  ,N/A  ,3.50m,N/A,N/A,N/A,N/A,N/A,16th Nov 02  ,28th Oct 20
1106,/games/boxart/full_3497878AmericaFrontccc.jpg,https://www.vgchartz.com/game/227543/nioh/?region=All,Nioh    ,All,Koei Tecmo  ,Team Ninja  ,N/A  ,N/A  ,N/A  ,3.50m,N/A,N/A,N/A,N/A,N/A,09th Feb 17  ,17th Oct 20
1107,/games/boxart/full_1284426AmericaFrontccc.jpg,https://www.vgchartz.com/game/227999/oddworld-abes-oddysee/?region=All,Oddworld: Abe's Oddysee    ,All,GT Interactive  ,Oddworld Inhabitants  ,N/A  ,N/A  ,N/A  ,3.50m,N/A,N/A,N/A,N/A,N/A,18th Sep 97  ,01st Jan 21
1108,/games/boxart/9182743ccc.jpg,https://www.vgchartz.com/game/4161/resident-evil-3-nemesis/?region=All,Resident Evil 3: Nemesis    ,PS,Capcom  ,Capcom  ,N/A  ,9.4  ,N/A  ,3.50m,N/A,N/A,N/A,N/A,N/A,11th Nov 99  ,N/A
1109,/games/boxart/full_9210938AmericaFrontccc.jpg,https://www.vgchartz.com/game/231379/sonic-frontiers/?region=All,Sonic Frontiers    ,All,Sega  ,Sonic Team  ,N/A  ,N/A  ,N/A  ,3.50m,N/A,N/A,N/A,N/A,N/A,08th Nov 22  ,13th Dec 22
1110,/games/boxart/full_3107004PALFrontccc.jpg,https://www.vgchartz.com/game/229355/ufc-2009-undisputed/?region=All,UFC 2009 Undisputed    ,All,THQ  ,THQ  ,N/A  ,N/A  ,N/A  ,3.50m,N/A,N/A,N/A,N/A,N/A,19th May 09  ,08th Jul 21
1111,/games/boxart/178686ccc.jpg,https://www.vgchartz.com/game/7591/world-of-warcraft-the-burning-crusade/?region=All,World of Warcraft: The Burning Crusade    ,PC,Blizzard Entertainment  ,Blizzard Entertainment  ,N/A  ,9.2  ,N/A  ,3.50m,N/A,N/A,N/A,N/A,N/A,16th Jan 07  ,22nd Apr 18
1112,/games/boxart/full_5483516AmericaFrontccc.jpg,https://www.vgchartz.com/game/227618/wwe-smackdown-vs-raw-2010/?region=All,WWE SmackDown vs. Raw 2010    ,All,THQ  ,THQ  ,N/A  ,N/A  ,N/A  ,3.50m,N/A,N/A,N/A,N/A,N/A,20th Oct 09  ,24th Oct 20
1113,/games/boxart/full_699895AmericaFrontccc.jpg,https://www.vgchartz.com/game/227620/wwe-smackdown-vs-raw-2011/?region=All,WWE SmackDown vs. Raw 2011    ,All,THQ  ,THQ  ,N/A  ,N/A  ,N/A  ,3.50m,N/A,N/A,N/A,N/A,N/A,06th Oct 10  ,24th Oct 20
1114,/games/boxart/full_2765424AmericaFrontccc.jpg,https://www.vgchartz.com/game/227553/final-fantasy-iv/?region=All,Final Fantasy IV    ,All,Square  ,Square  ,N/A  ,N/A  ,N/A  ,3.50m,N/A,N/A,N/A,N/A,N/A,19th Jul 91  ,19th Oct 20
1115,/games/boxart/full_1186055AmericaFrontccc.jpg,https://www.vgchartz.com/game/228172/monument-valley-2/?region=All,Monument Valley 2    ,All,Ustwo Games  ,Ustwo Games  ,N/A  ,N/A  ,N/A  ,3.50m,N/A,N/A,N/A,N/A,N/A,05th Jun 17  ,30th Jan 21
1116,/games/boxart/6928045ccc.jpg,https://www.vgchartz.com/game/6262/fifa-soccer-2004/?region=All,FIFA Soccer 2004    ,PS2,EA Sports  ,EA Canada  ,N/A  ,8.0  ,N/A  ,N/A,3.49m,0.59m,2.36m,0.04m,0.51m,04th Nov 03  ,N/A
1117,/games/boxart/9531394ccc.jpg,https://www.vgchartz.com/game/4026/pokemon-mystery-dungeon-blue-rescue-team/?region=All,Pokémon Mystery Dungeon: Blue Rescue Team    ,DS,Nintendo  ,ChunSoft  ,N/A  ,6.3  ,N/A  ,3.49m,N/A,N/A,N/A,N/A,N/A,18th Sep 06  ,N/A
1118,/games/boxart/full_9891732AmericaFrontccc.jpg,https://www.vgchartz.com/game/82694/mortal-kombat-x/?region=All,Mortal Kombat X    Read the review,PS4,Warner Bros. Interactive Entertainment  ,NetherRealm Studios  ,N/A  ,N/A  ,N/A  ,N/A,3.49m,1.94m,0.94m,N/A,0.61m,14th Apr 15  ,04th Jan 18
1119,/games/boxart/full_2180575AmericaFrontccc.jpg,https://www.vgchartz.com/game/31439/battlefield-bad-company-2/?region=All,Battlefield: Bad Company 2    ,X360,Electronic Arts  ,EA Digital Illusions CE  ,N/A  ,9.0  ,9.3  ,N/A,3.48m,2.11m,1.01m,0.04m,0.33m,02nd Mar 10  ,N/A
1120,/games/boxart/full_8022346AmericaFrontccc.jpg,https://www.vgchartz.com/game/228019/darksiders/?region=All,Darksiders    ,All,THQ  ,Vigil Games  ,N/A  ,N/A  ,N/A  ,3.48m,N/A,N/A,N/A,N/A,N/A,05th Jan 10  ,09th Jan 21
1121,/games/boxart/full_4641934AmericaFrontccc.jpg,https://www.vgchartz.com/game/13826/borderlands/?region=All,Borderlands    Read the review,X360,2K Games  ,Gearbox Software  ,8.6  ,8.3  ,N/A  ,N/A,3.48m,2.43m,0.72m,0.03m,0.30m,20th Oct 09  ,N/A
1122,/games/boxart/full_9654291AmericaFrontccc.png,https://www.vgchartz.com/game/226560/paper-mario-the-origami-king/?region=All,Paper Mario: The Origami King    Read the review,NS,Nintendo  ,Intelligent Systems  ,8.0  ,N/A  ,9.0  ,3.47m,N/A,N/A,N/A,N/A,N/A,17th Jul 20  ,01st Aug 20
1123,/games/boxart/full_3513275AmericaFrontccc.jpg,https://www.vgchartz.com/game/31660/mario-amp-sonic-at-the-olympic-winter-games/?region=All,Mario & Sonic at the Olympic Winter Games    ,DS,Sega  ,Sega  ,N/A  ,7.6  ,N/A  ,N/A,3.47m,1.21m,1.63m,0.27m,0.37m,13th Oct 09  ,N/A
1124,/games/boxart/full_5613940PALFrontccc.jpg,https://www.vgchartz.com/game/72237/dying-light/?region=All,Dying Light    ,PC,Warner Bros. Interactive Entertainment  ,Techland  ,N/A  ,N/A  ,N/A  ,3.47m,N/A,N/A,N/A,N/A,N/A,06th Feb 16  ,04th May 18
1125,/games/boxart/full_4418677AmericaFrontccc.jpg,https://www.vgchartz.com/game/16432/guitar-hero-on-tour/?region=All,Guitar Hero: On Tour    ,DS,Activision  ,Vicarious Visions  ,N/A  ,7.1  ,8.1  ,N/A,3.46m,2.10m,1.01m,0.01m,0.35m,22nd Jun 08  ,N/A
1126,/games/boxart/3480866ccc.jpg,https://www.vgchartz.com/game/5029/dragon-ball-z-budokai/?region=All,Dragon Ball Z: Budokai    ,PS2,Atari  ,Dimps Corporation  ,N/A  ,N/A  ,N/A  ,3.46m,N/A,N/A,N/A,N/A,N/A,03rd Dec 02  ,N/A
1127,/games/boxart/full_8193629AmericaFrontccc.jpg,https://www.vgchartz.com/game/85055/the-legend-of-zelda-majoras-mask-3d/?region=All,The Legend of Zelda: Majora's Mask 3D    Read the review,3DS,Nintendo  ,GREZZO  ,9.0  ,9.0  ,N/A  ,3.46m,N/A,N/A,N/A,N/A,N/A,13th Feb 15  ,31st Jan 18
1128,/games/boxart/6000844ccc.jpg,https://www.vgchartz.com/game/6437/spyro-2-riptos-rage/?region=All,Spyro 2: Ripto's Rage!    ,PS,Sony Computer Entertainment  ,Insomniac Games  ,N/A  ,8.7  ,N/A  ,3.45m,N/A,N/A,N/A,N/A,N/A,31st Oct 99  ,N/A
1129,/games/boxart/full_1508066AmericaFrontccc.jpg,https://www.vgchartz.com/game/83194/halo-the-master-chief-collection/?region=All,Halo: The Master Chief Collection    Read the review,XOne,Microsoft Studios  ,343 Industries  ,7.5  ,N/A  ,N/A  ,N/A,3.44m,2.06m,1.04m,0.03m,0.31m,11th Nov 14  ,24th Mar 18
1130,/games/boxart/full_9941134AmericaFrontccc.png,https://www.vgchartz.com/game/228060/star-ocean/?region=All,Star Ocean    ,Series,Enix  ,tri-Ace  ,N/A  ,N/A  ,N/A  ,3.44m,N/A,N/A,N/A,N/A,N/A,19th Jul 96  ,15th Jan 21
1131,/games/boxart/full_5558637AmericaFrontccc.jpg,https://www.vgchartz.com/game/13867/lego-batman-the-videogame/?region=All,LEGO Batman: The Videogame    Read the review,X360,Warner Bros. Interactive  ,Traveller's Tales  ,7.5  ,7.5  ,N/A  ,N/A,3.44m,2.07m,1.04m,N/A,0.34m,23rd Sep 08  ,N/A
1132,/games/boxart/full_9587449AmericaFrontccc.jpg,https://www.vgchartz.com/game/2345/tekken-4/?region=All,Tekken 4    ,PS2,Namco  ,Namco  ,N/A  ,7.9  ,N/A  ,N/A,3.44m,1.55m,1.27m,0.33m,0.29m,23rd Sep 02  ,N/A
1133,/games/boxart/full_5130076AmericaFrontccc.jpg,https://www.vgchartz.com/game/73754/fifa-14/?region=All,FIFA 14    ,PS4,EA Sports  ,EA Canada  ,N/A  ,N/A  ,N/A  ,N/A,3.43m,0.62m,2.18m,0.12m,0.51m,15th Nov 13  ,15th Sep 18
1134,/games/boxart/full_littlebigplanet-2_308AmericaFront.jpg,https://www.vgchartz.com/game/43908/littlebigplanet-2/?region=All,LittleBigPlanet 2    Read the review,PS3,Sony Computer Entertainment  ,Media Molecule  ,9.3  ,9.1  ,N/A  ,N/A,3.43m,1.83m,1.07m,0.06m,0.47m,18th Jan 11  ,N/A
1135,/games/boxart/9935711ccc.jpg,https://www.vgchartz.com/game/5163/grand-theft-auto-2/?region=All,Grand Theft Auto 2    ,PS,Rockstar Games  ,DMA Design  ,N/A  ,6.9  ,N/A  ,N/A,3.42m,1.13m,2.07m,N/A,0.22m,25th Oct 99  ,N/A
1136,/games/boxart/full_4214879AmericaFrontccc.jpg,https://www.vgchartz.com/game/71524/destiny/?region=All,Destiny    ,XOne,Activision  ,Bungie  ,N/A  ,8.3  ,N/A  ,N/A,3.41m,2.17m,0.92m,N/A,0.32m,09th Sep 14  ,12th Jan 18
1137,/games/boxart/4171363ccc.jpg,https://www.vgchartz.com/game/5731/spider-man-2/?region=All,Spider-Man 2    ,PS2,Activision  ,Treyarch  ,N/A  ,7.9  ,N/A  ,N/A,3.41m,1.75m,1.20m,0.02m,0.43m,28th Jun 04  ,N/A
1138,/games/boxart/full_1140685AmericaFrontccc.jpg,https://www.vgchartz.com/game/3240/f-1-race/?region=All,F-1 Race    ,GB,Nintendo  ,Nintendo  ,N/A  ,N/A  ,N/A  ,3.41m,N/A,N/A,N/A,N/A,N/A,01st Feb 91  ,N/A
1139,/games/boxart/full_626152AmericaFrontccc.jpg,https://www.vgchartz.com/game/73076/dead-rising-3/?region=All,Dead Rising 3    Read the review,XOne,Microsoft Studios  ,Capcom  ,7.9  ,N/A  ,N/A  ,3.40m,N/A,N/A,N/A,N/A,N/A,22nd Nov 13  ,24th Mar 18
1140,/games/boxart/full_1227547AmericaFrontccc.jpg,https://www.vgchartz.com/game/229377/lego-batman-2-dc-super-heroes/?region=All,Lego Batman 2: DC Super Heroes    ,All,Warner Bros. Interactive Entertainment  ,TT Fusion  ,N/A  ,N/A  ,N/A  ,3.40m,N/A,N/A,N/A,N/A,N/A,19th Jun 12  ,20th Jul 21
1141,/games/boxart/full_259219AmericaFrontccc.jpg,https://www.vgchartz.com/game/227727/lego-star-wars-the-complete-saga/?region=All,Lego Star Wars: The Complete Saga    ,All,LucasArts  ,TT Fusion  ,N/A  ,N/A  ,N/A  ,3.40m,N/A,N/A,N/A,N/A,N/A,09th Nov 07  ,03rd Nov 20
1142,/games/boxart/full_1684791AmericaFrontccc.jpg,https://www.vgchartz.com/game/227907/saints-row-2/?region=All,Saints Row 2    ,All,THQ  ,Volition  ,N/A  ,N/A  ,N/A  ,3.40m,N/A,N/A,N/A,N/A,N/A,14th Oct 08  ,06th Dec 20
1143,/games/boxart/full_7477816AmericaFrontccc.png,https://www.vgchartz.com/game/227871/simcity-2000/?region=All,SimCity 2000    ,All,Maxis  ,Maxis  ,N/A  ,N/A  ,N/A  ,3.40m,N/A,N/A,N/A,N/A,N/A,01st Jan 93  ,27th Nov 20
1144,/games/boxart/full_7325454AmericaFrontccc.jpg,https://www.vgchartz.com/game/221886/world-of-warcraft-battle-for-azeroth/?region=All,World of Warcraft: Battle for Azeroth    ,PC,Blizzard Entertainment  ,Blizzard Entertainment  ,N/A  ,N/A  ,N/A  ,3.40m,N/A,N/A,N/A,N/A,N/A,14th Aug 18  ,19th Apr 18
1145,/games/boxart/9447551ccc.jpg,https://www.vgchartz.com/game/6260/fifa-soccer-2003/?region=All,FIFA Soccer 2003    ,PS2,EA Sports  ,EA Canada  ,N/A  ,N/A  ,N/A  ,N/A,3.40m,0.46m,2.28m,0.05m,0.61m,14th Nov 02  ,N/A
1146,/games/boxart/full_4359256AmericaFrontccc.jpg,https://www.vgchartz.com/game/226280/spintires/?region=All,Spintires    ,Series,IMGN PRO  ,Saber Interactive  ,N/A  ,N/A  ,N/A  ,3.39m,N/A,N/A,N/A,N/A,N/A,13th Jun 14  ,04th Mar 20
1147,/games/boxart/4722160ccc.jpg,https://www.vgchartz.com/game/410/crash-bash/?region=All,Crash Bash    ,PS,Sony Computer Entertainment  ,Eurocom Entertainment Software  ,N/A  ,6.8  ,N/A  ,N/A,3.39m,1.56m,1.47m,0.19m,0.17m,06th Nov 00  ,N/A
1148,/games/boxart/full_2112875AmericaFrontccc.jpg,https://www.vgchartz.com/game/232040/dark-souls-remastered/?region=All,Dark Souls: Remastered    ,All,Bandai Namco Entertainment  ,From Software  ,N/A  ,N/A  ,N/A  ,3.39m,N/A,N/A,N/A,N/A,N/A,25th May 18  ,04th Aug 23
1149,/games/boxart/full_3672619AmericaFrontccc.png,https://www.vgchartz.com/game/85730/gears-of-war-4/?region=All,Gears of War 4    ,XOne,Microsoft Studios  ,The Coalition  ,N/A  ,N/A  ,N/A  ,N/A,3.38m,2.17m,0.90m,N/A,0.32m,11th Oct 16  ,13th Jan 18
1150,/games/boxart/full_6818150AmericaFrontccc.jpg,https://www.vgchartz.com/game/226200/mario-baseball/?region=All,Mario Baseball    ,Series,Nintendo  ,Namco  ,N/A  ,N/A  ,N/A  ,3.37m,N/A,N/A,N/A,N/A,N/A,29th Aug 05  ,21st Feb 20
1151,/games/boxart/full_8209665AmericaFrontccc.jpg,https://www.vgchartz.com/game/2347/tekken-dark-resurrection/?region=All,Tekken: Dark Resurrection    Read the review,PSP,Namco Bandai  ,8ing/Raizing  ,8.9  ,8.7  ,N/A  ,3.37m,N/A,N/A,N/A,N/A,N/A,25th Jul 06  ,N/A
1152,/games/boxart/full_7599322AmericaFrontccc.jpg,https://www.vgchartz.com/game/119946/the-elder-scrolls-v-skyrim-special-edition/?region=All,The Elder Scrolls V: Skyrim Special Edition    ,PS4,Bethesda Softworks  ,Bethesda Softworks  ,N/A  ,8.3  ,N/A  ,N/A,3.36m,1.24m,1.50m,0.08m,0.54m,28th Oct 16  ,01st Apr 18
1153,/games/boxart/full_8315580AmericaFrontccc.png,https://www.vgchartz.com/game/86722/watch-dogs-2/?region=All,Watch Dogs 2    ,PS4,Ubisoft  ,Ubisoft  ,N/A  ,N/A  ,N/A  ,N/A,3.36m,0.98m,1.74m,0.12m,0.52m,15th Nov 16  ,N/A
1154,/games/boxart/6629690ccc.jpg,https://www.vgchartz.com/game/2398/the-legend-of-zelda-majoras-mask/?region=All,The Legend of Zelda: Majora's Mask    ,N64,Nintendo  ,Nintendo EAD  ,N/A  ,9.3  ,N/A  ,3.36m,N/A,N/A,N/A,N/A,N/A,25th Oct 00  ,N/A
1155,/games/boxart/full_9464827AmericaFrontccc.jpg,https://www.vgchartz.com/game/6535/wwf-war-zone/?region=All,WWF War Zone    ,PS,Acclaim Entertainment  ,Iguana Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,3.36m,2.47m,0.76m,N/A,0.13m,14th Jul 98  ,N/A
1156,/games/boxart/full_3486976AmericaFrontccc.jpg,https://www.vgchartz.com/game/4771/yoshis-island-ds/?region=All,Yoshi's Island DS    ,DS,Nintendo  ,Artoon  ,N/A  ,8.2  ,N/A  ,3.36m,N/A,N/A,N/A,N/A,N/A,13th Nov 06  ,N/A
1157,/games/boxart/full_7109212AmericaFrontccc.jpg,https://www.vgchartz.com/game/182717/yoshis-crafted-world/?region=All,Yoshi's Crafted World    Read the review,NS,Nintendo  ,Good-Feel  ,8.0  ,7.8  ,N/A  ,3.35m,N/A,N/A,N/A,N/A,N/A,29th Mar 19  ,22nd Mar 19
1158,/games/boxart/full_9064836AmericaFrontccc.jpg,https://www.vgchartz.com/game/227561/final-fantasy-xiii-2/?region=All,Final Fantasy XIII-2    ,All,Square Enix  ,Square  ,N/A  ,N/A  ,N/A  ,3.34m,N/A,N/A,N/A,N/A,N/A,31st Jan 12  ,19th Oct 20
1159,/games/boxart/full_4496262AmericaFrontccc.jpg,https://www.vgchartz.com/game/71599/assassins-creed-iv-black-flag/?region=All,Assassin's Creed IV: Black Flag    ,X360,Ubisoft  ,Ubisoft Montreal  ,N/A  ,8.5  ,N/A  ,N/A,3.34m,1.90m,1.14m,0.01m,0.30m,29th Oct 13  ,22nd Mar 18
1160,/games/boxart/full_2457781AmericaFrontccc.jpg,https://www.vgchartz.com/game/174555/nba-2k18/?region=All,NBA 2K18    ,PS4,2K Sports  ,Visual Concepts  ,N/A  ,8.1  ,N/A  ,N/A,3.34m,2.13m,0.57m,0.04m,0.59m,19th Sep 17  ,02nd Apr 18
1161,/games/boxart/full_6559570AmericaFrontccc.jpg,https://www.vgchartz.com/game/2906/big-brain-academy-wii-degree/?region=All,Big Brain Academy: Wii Degree    ,Wii,Nintendo  ,Nintendo EAD  ,N/A  ,7.1  ,N/A  ,3.34m,N/A,N/A,N/A,N/A,N/A,11th Jun 07  ,N/A
1162,/games/boxart/full_2659086AmericaFrontccc.jpg,https://www.vgchartz.com/game/230834/naruto-shippuden-ultimate-ninja-storm-trilogy/?region=All,Naruto Shippuden: Ultimate Ninja Storm Trilogy    ,All,Bandai Namco Entertainment  ,CyberConnect2  ,N/A  ,N/A  ,N/A  ,3.34m,N/A,N/A,N/A,N/A,N/A,26th Apr 18  ,31st Aug 22
1163,/games/boxart/6379438ccc.jpg,https://www.vgchartz.com/game/1207/luigis-mansion/?region=All,Luigi's Mansion    ,GC,Nintendo  ,Nintendo EAD  ,N/A  ,7.9  ,N/A  ,3.33m,N/A,N/A,N/A,N/A,N/A,17th Nov 01  ,N/A
1164,/games/boxart/6105471ccc.jpg,https://www.vgchartz.com/game/6302/james-bond-007-nightfire/?region=All,James Bond 007: Nightfire    ,PS2,Electronic Arts  ,Eurocom Entertainment Software  ,N/A  ,N/A  ,N/A  ,N/A,3.33m,1.45m,1.29m,0.12m,0.46m,18th Nov 02  ,N/A
1165,/games/boxart/full_5479051AmericaFrontccc.jpg,https://www.vgchartz.com/game/5764/star-wars-episode-iii-revenge-of-the-sith/?region=All,Star Wars Episode III: Revenge of the Sith    ,PS2,LucasArts  ,The Collective  ,N/A  ,N/A  ,N/A  ,N/A,3.32m,1.47m,1.39m,0.03m,0.43m,04th May 05  ,N/A
1166,/games/boxart/7983566ccc.jpg,https://www.vgchartz.com/game/5333/max-payne/?region=All,Max Payne    ,PS2,Rockstar Games  ,Remedy Entertainment  ,N/A  ,8.1  ,N/A  ,N/A,3.31m,1.99m,1.05m,0.05m,0.22m,06th Dec 01  ,N/A
1167,/games/boxart/full_6439229AmericaFrontccc.jpg,https://www.vgchartz.com/game/85399/madden-nfl-16/?region=All,Madden NFL 16    ,PS4,EA Sports  ,EA Tiburon  ,N/A  ,8.2  ,N/A  ,N/A,3.30m,2.39m,0.31m,N/A,0.61m,25th Aug 15  ,31st Mar 18
1168,/games/boxart/full_544093AmericaFrontccc.png,https://www.vgchartz.com/game/226048/breath-of-fire/?region=All,Breath of Fire    ,Series,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,3.30m,N/A,N/A,N/A,N/A,N/A,10th Aug 94  ,03rd Feb 20
1169,/games/boxart/full_9421541AmericaFrontccc.jpg,https://www.vgchartz.com/game/226108/commandos/?region=All,Commandos    ,Series,Eidos Interactive  ,Pyro Studios  ,N/A  ,N/A  ,N/A  ,3.30m,N/A,N/A,N/A,N/A,N/A,28th Aug 98  ,12th Feb 20
1170,/games/boxart/full_2007704AmericaFrontccc.jpg,https://www.vgchartz.com/game/227464/resident-evil-revelations-2/?region=All,Resident Evil: Revelations 2    ,All,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,3.30m,N/A,N/A,N/A,N/A,N/A,24th Feb 15  ,11th Oct 20
1171,/games/boxart/full_4214163AmericaFrontccc.jpg,https://www.vgchartz.com/game/86163/world-of-warcraft-legion/?region=All,World of Warcraft: Legion    ,PC,Blizzard Entertainment  ,Blizzard Entertainment  ,N/A  ,N/A  ,N/A  ,3.30m,N/A,N/A,N/A,N/A,N/A,29th Aug 16  ,22nd Apr 18
1172,/games/boxart/full_7342681AmericaFrontccc.jpg,https://www.vgchartz.com/game/84863/world-of-warcraft-warlords-of-draenor/?region=All,World of Warcraft: Warlords of Draenor    ,PC,Activision Blizzard  ,Blizzard Entertainment  ,N/A  ,N/A  ,N/A  ,3.30m,N/A,N/A,N/A,N/A,N/A,13th Nov 14  ,22nd Apr 18
1173,/games/boxart/full_2695520PALFrontccc.jpg,https://www.vgchartz.com/game/85670/dark-souls-iii/?region=All,Dark Souls III    ,PC,Namco Bandai Games  ,From Software  ,N/A  ,N/A  ,N/A  ,3.29m,N/A,N/A,N/A,N/A,N/A,11th Apr 16  ,02nd Nov 18
1174,/games/boxart/full_9931309PALFrontccc.jpg,https://www.vgchartz.com/game/70899/dark-souls-prepare-to-die-edition/?region=All,Dark Souls: Prepare to Die Edition    ,PC,Namco Bandai Games  ,From Software  ,N/A  ,N/A  ,N/A  ,3.29m,N/A,N/A,N/A,N/A,N/A,24th Aug 12  ,01st Feb 19
1175,/games/boxart/3546885ccc.jpg,https://www.vgchartz.com/game/5276/the-lord-of-the-rings-the-return-of-the-king/?region=All,The Lord of the Rings: The Return of the King    ,PS2,Electronic Arts  ,Hypnos Entertainment, Inc.  ,N/A  ,8.4  ,N/A  ,N/A,3.28m,1.50m,1.28m,0.05m,0.46m,05th Nov 03  ,N/A
1176,/games/boxart/7195655ccc.jpg,https://www.vgchartz.com/game/6439/spyro-year-of-the-dragon/?region=All,Spyro: Year of the Dragon    ,PS,Sony Computer Entertainment  ,Insomniac Games  ,N/A  ,9.1  ,N/A  ,3.28m,N/A,N/A,N/A,N/A,N/A,23rd Oct 00  ,N/A
1177,/games/boxart/full_5095376AmericaFrontccc.jpg,https://www.vgchartz.com/game/14232/half-life-2-episode-two/?region=All,Half-Life 2: Episode Two    ,PC,Valve Software  ,Valve Corporation  ,N/A  ,9.1  ,N/A  ,3.28m,N/A,N/A,N/A,N/A,N/A,10th Oct 07  ,N/A
1178,/games/boxart/full_5316903AmericaFrontccc.png,https://www.vgchartz.com/game/227947/the-room-two/?region=All,The Room Two    ,All,Fireproof Games  ,Fireproof Games  ,N/A  ,N/A  ,N/A  ,3.28m,N/A,N/A,N/A,N/A,N/A,12th Dec 13  ,18th Dec 20
1179,/games/boxart/full_441184AmericaFrontccc.jpg,https://www.vgchartz.com/game/86434/madden-nfl-17/?region=All,Madden NFL 17    ,PS4,EA Sports  ,EA Tiburon  ,N/A  ,8.5  ,N/A  ,N/A,3.28m,2.30m,0.37m,N/A,0.60m,23rd Aug 16  ,01st Apr 18
1180,/games/boxart/2607496ccc.jpg,https://www.vgchartz.com/game/5948/true-crime-streets-of-la/?region=All,True Crime: Streets of LA    ,PS2,Activision  ,Luxoflux  ,N/A  ,N/A  ,N/A  ,N/A,3.27m,1.89m,1.05m,0.02m,0.31m,03rd Nov 03  ,N/A
