rank, imageUrl, gameLink, gameTitle, platform,Publisher, developer, VGChartzScore, CriticScore,UserScore, TotalShipped, TotalSales, NASales,PALSales, JapanSales, OtherSales, ReleaseDate, LastUpdate
1617,/games/boxart/full_2368935AmericaFrontccc.jpg,https://www.vgchartz.com/game/227863/prince-of-persia-the-sands-of-time/?region=All,Prince of Persia: The Sands of Time    ,All,Ubisoft  ,Ubisoft Montreal  ,N/A  ,N/A  ,N/A  ,2.40m,N/A,N/A,N/A,N/A,N/A,28th Oct 03  ,26th Nov 20
1618,/games/boxart/5494901ccc.jpg,https://www.vgchartz.com/game/6399/pro-wrestling/?region=All,Pro Wrestling    ,NES,Nintendo  ,TRY Corporation  ,N/A  ,N/A  ,N/A  ,2.40m,N/A,N/A,N/A,N/A,N/A,01st Mar 87  ,N/A
1619,/games/boxart/full_5010943AmericaFrontccc.jpg,https://www.vgchartz.com/game/230371/realms-of-arkania/?region=All,Realms of Arkania    ,Series,Sirtech  ,Attic Entertainment Software GmbH  ,N/A  ,N/A  ,N/A  ,2.40m,N/A,N/A,N/A,N/A,N/A,01st Jun 93  ,11th May 22
1620,/games/boxart/full_6879421AmericaFrontccc.jpg,https://www.vgchartz.com/game/230430/street-fighter-6/?region=All,Street Fighter 6    ,All,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,2.40m,N/A,N/A,N/A,N/A,N/A,02nd Jun 23  ,02nd Jun 22
1621,/games/boxart/full_4243248AmericaFrontccc.jpg,https://www.vgchartz.com/game/227718/tom-clancys-ghost-recon-advanced-warfighter/?region=All,Tom Clancy's Ghost Recon Advanced Warfighter    ,All,Ubisoft  ,Ubisoft  ,N/A  ,N/A  ,N/A  ,2.40m,N/A,N/A,N/A,N/A,N/A,09th Mar 06  ,02nd Nov 20
1622,/games/boxart/198059ccc.jpg,https://www.vgchartz.com/game/6497/theme-hospital/?region=All,Theme Hospital    ,PC,Electronic Arts  ,Bullfrog Productions  ,N/A  ,5.5  ,N/A  ,N/A,2.40m,2.30m,0.10m,N/A,N/A,31st Mar 97  ,N/A
1623,/games/boxart/full_4364078AmericaFrontccc.jpg,https://www.vgchartz.com/game/226644/horizon-zero-dawn/?region=All,Horizon: Zero Dawn    ,PC,PlayStation Mobile Inc.  ,Guerrilla Games  ,N/A  ,N/A  ,N/A  ,2.40m,N/A,N/A,N/A,N/A,N/A,07th Aug 20  ,05th Aug 20
1624,/games/boxart/full_madden-nfl-11_1AmericaFront.jpg,https://www.vgchartz.com/game/43127/madden-nfl-11/?region=All,Madden NFL 11    Read the review,PS3,EA Sports  ,EA Tiburon  ,8.2  ,8.4  ,N/A  ,N/A,2.40m,2.05m,0.15m,N/A,0.20m,10th Aug 10  ,N/A
1625,/games/boxart/full_3120044AmericaFrontccc.jpg,https://www.vgchartz.com/game/71969/batman-arkham-origins/?region=All,Batman: Arkham Origins    Read the review,PS3,Warner Bros. Interactive Entertainment  ,Warner Bros. Interactive Entertainment  ,8.2  ,N/A  ,N/A  ,N/A,2.40m,1.08m,0.88m,0.04m,0.40m,25th Oct 13  ,13th Apr 18
1626,/games/boxart/8882316ccc.jpg,https://www.vgchartz.com/game/6272/froggers-adventures-temple-of-the-frog/?region=All,Frogger's Adventures: Temple of the Frog    ,GBA,Konami  ,Konami  ,N/A  ,6.7  ,N/A  ,N/A,2.39m,2.15m,0.18m,N/A,0.07m,24th Oct 01  ,N/A
